Date,Open,High,Low,Close,Adj Close,Volume,EMA_20,EMA_100,signal,position,trade,asset_return,strategy_gross_return,cost,strategy_net_return,buy_and_hold_equity,strategy_equity
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,
2024-07-01,212.08999633789062,217.50999450683594,211.9199981689453,216.75,215.08648681640625,60402900,206.77595215985315,189.44662880498598,1,1.0,0.0,0.029104572333703782,0.029104572333703782,0.0,0.029104572333703782,79301.19687912909,27675.13591838017
2024-07-02,216.14999389648438,220.3800048828125,215.10000610351562,220.27000427246094,218.57952880859375,58046200,208.06109998010152,190.05699267562903,1,1.0,0.0,0.016239927439266166,0.016239927439266166,0.0,0.016239927439266166,80589.04256229309,28124.578117566492
2024-07-03,220.0,221.5500030517578,219.02999877929688,221.5500030517578,219.84970092773438,37369800,209.34575741549736,190.68061664347314,1,1.0,0.0,0.0058110444203451905,0.0058110444203451905,0.0,0.0058110444203451905,81057.34906841567,28288.01129031114
2024-07-05,221.64999389648438,226.4499969482422,221.64999389648438,226.33999633789062,224.60292053222656,60412400,210.96425636048718,191.38674297405566,1,1.0,0.0,0.021620371113304726,0.021620371113304726,0.0,0.021620371113304726,82809.83903673552,28899.60859246502
2024-07-08,227.08999633789062,227.85000610351562,223.25,227.82000732421875,226.07154846191406,59085900,212.56956597608067,192.10819375326682,1,1.0,0.0,0.006538884025246272,0.006538884025246272,0.0,0.006538884025246272,83351.32297034602,29088.57978142616
2024-07-09,227.92999267578125,229.39999389648438,226.3699951171875,228.67999267578125,226.92494201660156,48076100,214.10389232843312,192.8323877913364,1,1.0,0.0,0.00377484559702701,0.00377484559702701,0.0,0.00377484559702701,83665.96134486703,29198.384678737846
2024-07-10,229.3000030517578,233.0800018310547,229.25,232.97999572753906,231.1919708251953,62627700,215.9016164616813,193.62738992868697,1,1.0,0.0,0.018803582252402418,0.018803582252402418,0.0,0.018803582252402418,85239.18113074155,29747.418906681778
2024-07-11,231.38999938964844,232.38999938964844,225.77000427246094,227.57000732421875,225.823486328125,64710600,217.01289178192297,194.29952096622225,1,1.0,0.0,-0.023220827978926883,-0.023220827978926883,0.0,-0.023220827978926883,83259.85676864,29056.659209432644
2024-07-12,228.9199981689453,232.63999938964844,228.67999267578125,230.5399932861328,228.77069091796875,53046500,218.30118716327627,195.017154081468,1,1.0,0.0,0.013050867277438316,0.013050867277438316,0.0,0.013050867277438316,84346.47010886605,29435.873812300706
2024-07-15,236.47999572753906,237.22999572753906,233.08999633789062,234.39999389648438,232.60105895996094,62631300,219.83440685215322,195.79701229562673,1,1.0,0.0,0.01674330147811176,0.01674330147811176,0.0,0.01674330147811176,85758.70848651334,29928.727521811714
2024-07-16,235.0,236.27000427246094,232.3300018310547,234.82000732421875,233.017822265625,43234300,221.26160689711185,196.5697448704503,1,1.0,0.0,0.0017918662059346335,0.0017918662059346335,0.0,0.0017918662059346335,85912.37661811493,29982.355797244672
2024-07-17,229.4499969482422,231.4600067138672,226.63999938964844,228.8800048828125,227.1234130859375,57345900,221.98716861003572,197.20955199940795,1,1.0,0.0,-0.025295980990260425,-0.025295980990260425,0.0,-0.025295980990260425,83739.138772355,29223.922694954348
2024-07-18,230.27999877929688,230.44000244140625,222.27000427246094,224.17999267578125,222.45948791503906,66034600,222.19600899724958,197.74362013161334,1,1.0,0.0,-0.020534830945314275,-0.020534830945314275,0.0,-0.020534830945314275,82019.56971415848,28623.81438285453
2024-07-19,224.82000732421875,226.8000030517578,223.27999877929688,224.30999755859375,222.58848571777344,49151500,222.39734124118712,198.2696870113555,1,1.0,0.0,0.0005799129586043783,0.0005799129586043783,0.0,0.0005799129586043783,82067.13392549488,28640.413703739832
2024-07-22,227.00999450683594,227.77999877929688,223.08999633789062,223.9600067138672,222.2411651611328,48201800,222.5461665242995,198.77840621338544,1,1.0,0.0,-0.0015602998017738567,-0.0015602998017738567,0.0,-0.0015602998017738567,81939.0845926988,28595.726071915167
2024-07-23,224.3699951171875,226.94000244140625,222.67999267578125,225.00999450683594,223.2831268310547,39960300,222.7808168083506,199.29784360533495,1,1.0,0.0,0.004688282557118395,0.004688282557118395,0.0,0.004688282557118395,82323.238173741,28729.79091566626
2024-07-24,224.0,224.8000030517578,217.1300048828125,218.5399932861328,216.86276245117188,61777600,222.37692885385366,199.67887627228146,1,1.0,0.0,-0.02875428371474653,-0.02875428371474653,0.0,-0.02875428371474653,79956.0924269766,27903.686356611845
2024-07-25,218.92999267578125,220.85000610351562,214.6199951171875,217.49000549316406,215.82086181640625,51391200,221.91150758140702,200.03157190041773,1,1.0,0.0,-0.004804556718339459,-0.004804556718339459,0.0,-0.004804556718339459,79571.9388459344,27769.62151286075
2024-07-26,218.6999969482422,219.49000549316406,216.00999450683594,217.9600067138672,216.28724670410156,41601300,221.53517416545085,200.38659041157516,1,1.0,0.0,0.002161024455525684,0.002161024455525684,0.0,0.002161024455525684,79743.89575175407,27829.632344070735
2024-07-29,216.9600067138672,219.3000030517578,215.75,218.24000549316406,216.56507873535156,36311800,221.221348577614,200.7401233834878,1,1.0,0.0,0.0012846337432190769,0.0012846337432190769,0.0,0.0012846337432190769,79846.3374510525,27865.383228841307
2024-07-30,219.19000244140625,220.3300018310547,216.1199951171875,218.8000030517578,217.12078857421875,41643800,220.9907442418182,201.0977447630575,1,1.0,0.0,0.0025659711533103646,0.0025659711533103646,0.0,0.0025659711533103646,80051.2208496494,27936.884998382455
2024-07-31,221.44000244140625,223.82000732421875,220.6300048828125,222.0800018310547,220.3756103515625,50036300,221.0944830598407,201.51323500202776,1,1.0,0.0,0.014990853444005525,0.014990853444005525,0.0,0.014990853444005525,81251.25696942021,28355.682747075243
2024-08-01,224.3699951171875,224.47999572753906,217.02000427246094,218.36000061035156,216.68417358398438,62501000,220.83405615988937,201.84683432100445,1,1.0,0.0,-0.016750725819666967,-0.016750725819666967,0.0,-0.016750725819666967,79890.23944142215,27880.704479949523
2024-08-02,219.14999389648438,225.60000610351562,217.7100067138672,219.86000061035156,218.17266845703125,105568600,220.74128896469531,202.20353068316973,1,1.0,0.0,0.006869389978967133,0.006869389978967133,0.0,0.006869389978967133,80439.03665165833,28072.227911910635
2024-08-05,199.08999633789062,213.5,196.0,209.27000427246094,207.66392517089844,119548600,219.64878566067298,202.3434608532547,1,1.0,0.0,-0.0481669985831521,-0.0481669985831521,0.0,-0.0481669985831521,76564.5296872278,26720.07294985171
2024-08-06,205.3000030517578,209.99000549316406,201.07000732421875,207.22999572753906,205.63955688476562,69660500,218.4660437622793,202.4402239200722,1,1.0,0.0,-0.009748212850733573,-0.009748212850733573,0.0,-0.009748212850733573,75818.16235502038,26459.599991349427
2024-08-07,206.89999389648438,213.63999938964844,206.38999938964844,209.82000732421875,208.20970153808594,63516400,217.64261172055924,202.5863582449068,1,1.0,0.0,0.01249824663455068,0.01249824663455068,0.0,0.01249824663455068,76765.75644751184,26790.298597892866
